ID1,text,medialink,Sentiment
43,"A great last day at Tsitsikamma, doing a few kilometer hike ????????
Feeling good &&& refreshed ????
#lastday#holiday#happyme#girl#hike#winter#fun#smile",#https://www.instagram.com/p/41lBO9yk1H/#,Positive
44,"Believe you can & you're halfway there. ????????
?
________________________________________________
#adventure#holiday#fun#proud#beauty#lovethisplace#happy#memories",#https://www.instagram.com/p/4ym5w3Sk23/#,Positive
46,Join us for 6 weeks or more at the Natures Valley Conservation Project and learn more about amazing South African birds like this Orange Breasted Sunbird. Bird ringing is just one of many research tasks that you'll be actively involved in during your sta,#https://www.instagram.com/p/446cb4IWin/#,Positive
47,Familie sundowner selfie! ?????? #smile #chaos #family #cousins #wine #selfie #underage #drinking #sunset #living,#https://www.instagram.com/p/42II1cPzHm/#,Positive
48,"Bye Bye Cape Town, and Hello Knysna! Catch us this weekend at the Street Soccer Tournament in Knysna where everyone will be SCORE'ing ?????????????? The first 10 people that see this car and say the catch phrase ""We love to Score"" will get a complimentar",#https://www.instagram.com/p/48lRUHDaDX/#,Positive
51,Can't beat this hotel in South Africa for round 2 of the amazing Garden Route #southafrica #paradise,#https://www.instagram.com/p/49rb-aOyQ3/#,Positive
53,"""Oh darling, let's be adventurous"" #kingfishertrail ????",#https://www.instagram.com/p/49gOv-Dhjx/#,Positive
54,We have nothing to lose and a world to see!,#https://www.instagram.com/p/49ZX8jJ2a1/#,Positive
55,??????,#https://www.instagram.com/p/48zMOLKr_F/#,Positive
56,"Rock Pile 
#hiking the 5 day #ottertrail in the #tsitsikamma #naturereserve. This pristine nature reserve set in the #southerncape, start at the #stormsrivermouth to the east and end at #naturesvalley in the west.
For 5 days you able to view the most awe",#https://www.instagram.com/p/6LVYpxiJT6/#,Positive
57,"Oakhurst Hut, No1 on Lottering.
#hiking the 5 day #ottertrail in the #tsitsikamma #naturereserve. This pristine nature reserve set in the #southerncape, start at the #stormsrivermouth to the east and end at #naturesvalley in the west.
For 5 days you able",#https://www.instagram.com/p/6LVDeriJS8/#,Positive
58,"Craggy
#hiking the #ottertrail in the #tsitsikamma #naturereserve, #southerncape #stormsriver #water #surf #forest #seascapes. 5 days of bliss.",#https://www.instagram.com/p/6LUkzzCJR3/#,Positive
59,"Perched Pair
#hiking the #ottertrail in the #tsitsikamma #naturereserve, #southerncape #stormsriver #water #surf #forest #seascapes. 5 days of bliss.",#https://www.instagram.com/p/6LT3kpCJQD/#,Positive
60,Sunny days in #stormsriver #hammock #chilling #tsitsikamma #dijembe #gettingmytanon,#https://www.instagram.com/p/59ZZs1Kk9h/#,Positive
61,cutest beach??????,#https://www.instagram.com/p/6FOpw2Nrj9/#,Positive
64,"?? 30km Circles in the Forest trail run complete, feeling amazing but stiff. Such a gorgeous run with plenty of obstacles thrown my way. So happy I had great supporters through my prepping and there for me at the end of the race?? #circlesintheforest #30",#https://www.instagram.com/p/6K6OSMvbJc/#,Positive
65,Misty morning Wilderness Trail views. You are a beauty #southafrica @southafrica #ThisIsSouthAfrica #iamnikonsa #sunrise #traveldispatch #lexarmemory @iamnikonsa #mountains #natureperfection #outsideisfree #thruthelens #landscape #landscapephotography,#https://www.instagram.com/p/6Jh5DWwd5A/#,Positive
66,Best part of #afbsox2015 is meeting new mates! @SOXTrailRun @TrailandTar,#https://www.instagram.com/p/6IPaHnuxkw/#,Positive
69,"Day 2 done! 60 km's down, only 19 km to go. This man reminds me what the human body is capable of ?? such a proud wife X",#https://www.instagram.com/p/6KzcCMsmuS/#,Positive
72,Our walk towards the River mouth #stormsrivermouth #stormsriver #tsitsikamma #trees #peaceful #beautiful #longwalk #wood #nature #flora #worththewalk #homeland #home #lovemycountry #homefromhome #takemeback #bestholiday #holiday #tourist #southafrica #lo,#https://www.instagram.com/p/7PjdIQspM0/#,Positive
76,Nature's Valley is another gem of the Garden Route,#https://www.instagram.com/p/7VvXUkiDJA/#,Positive
80,Climbing in amongst absolute beauty,#https://www.instagram.com/p/7UdAdGtOfV/#,Positive
81,Cheers!! Love always wins #dayOut #picknick #celebratinglove #love,#https://www.instagram.com/p/7XvEK2wCL7/#,Positive
82,Happy Bokkies :) #mtb,#https://www.instagram.com/p/7XSTzPSD3J/#,Positive
86,"This was on our hike a couple of weeks ago through the beautiful #knysnaforest. Heading back there in a couple of weeks, can't wait for all the smells of nature. 
#woods #hiking #yellowwood #wherewillwegonext",#https://www.instagram.com/p/7TGqGnMQ9M/#,Positive
90,Otter Trail done and dusted. This is... Gratitude. Tranquility. Serendipity. #thisissouthafrica,#https://www.instagram.com/p/8lvZaTHtDl/#,Positive
92,Being an engineer's daughter has taught me to really appreciate a good suspension bridge. Or maybe  it's the scenery. I dunno. #thisisafrica #gardenroute #tsitsikamma #wow #rei1440project,#https://www.instagram.com/p/8it4C1G4sU/#,Positive
93,My adventurous boys,#https://www.instagram.com/p/8ajgZqt8LV/#,Positive
96,"There's beauty in a singing stream
#water #forest #stream #gardenofeden #nature #knysna #soundsofnature",#https://www.instagram.com/p/8XwEJoDrDY/#,Positive
97,"Connect with something greater than yourself*

#huggingtrees #trees #nature #gardenofeden #knysnawoude #knysna",#https://www.instagram.com/p/8Xu10ljrBy/#,Positive
98,Beautiful climbing on Bloukrans Pass ??????????,#https://www.instagram.com/p/8kZ4QfHzQt/#,Positive
100,Live a life u won't forget. ????,#https://www.instagram.com/p/8d6hs-Feo_/#,Positive
101,Loving hiking #kringeinnbos #oupoot #knysna #adventure #waterfall #treeklimbing,#https://www.instagram.com/p/8inYTOGWsL/#,Positive
105,"Hows this for a view on my way to work at 5:30 this morning #southafrica #meetsouthafrica @igerssouthafrica @igersgardenroute 
@huaweiza 
@redbullza 
@red_e_za #sunrise #tuesday #mylife #southafricaletsme",#https://www.instagram.com/p/8fy5CiB8QW/#,Positive
109,LIV in the stream by @scrumpyjackson What an amazing shot in the Knysna Forest. The LIV GX1 Swiss Chrono all black with gray numbers. #livwatches #livman #scrumpyjackson #knysna #knysnaforest #southafrica ##swisswatches #swissprecision #swissengineering,#https://www.instagram.com/p/8VkXermBS8/#,Positive
111,"It took a while for you to find me, but i was hiding in a gold mine.??",#https://www.instagram.com/p/8adI38RHsy/#,Positive
112,?? #Holiday #RoadTrip #Ocean #TranceFamily  #weliveforweekends #EdmFamily #Plur #OneDirection #HarryStyles #NoFilter #Sony ?? #Xperia #Nature #Wanderlust #Wayfarer #Relaxing #RedHair #IndianHair #blackhair #Natural #InstaPic #BitchPleaseImFabulous ???#we,#https://www.instagram.com/p/8cvVHfrA-Z/#,Positive
114,Just beautiful! #wilderness,#https://www.instagram.com/p/8a6vs9EVga/#,Positive
122,Serene beauty of #wilderness,#https://www.instagram.com/p/8a3KL3EVmN/#,Positive
123,River adventures! #wilderness,#https://www.instagram.com/p/8a3FBTEVl8/#,Positive
124,"Living a healthy, active lifestyle can be a lot more fun than you think. Give it a shot... #herbalife",#https://www.instagram.com/p/8a20k7kVlQ/#,Positive
125,Adventure time! #wilderness,#https://www.instagram.com/p/8a2qY0kVks/#,Positive
126,Another sight that doesn't get old #Wilderness #roadtrippin #longweekend #gardenroute #beautifulsouthafrica,#https://www.instagram.com/p/8lO1Yfmp-9/#,Positive
129,Hiking to waterfalls and stuff! The Garden Route has been amazing - tomorrow I head into the mountains for some fun driving in my Audi A3! ????????,#https://www.instagram.com/p/9ykSaFO7UM/#,Positive
130,Beautiful day hiking a portion of the Otter Trail along the garden route. I just love hiking along the ocean! #travel #southafrica #wanderlust #gardenroute,#https://www.instagram.com/p/9u57kVg61I/#,Positive
132,"A short walk in the Millwood forest of Knysna to the graves of the miners that came here to seek their fortune. 
#forest #trees #walk #hiking #fun #glamping #HowzitSouthAfrica #meetsouthafrica #thisissouthafrica @southafrica #gardenroute #travel #wanderl",#https://www.instagram.com/p/9iv2IXjVZx/#,Positive
133,"""And the forests will echo with laughter"" 
Beyond bummed to be at the airport. Going to keep the spirit alive and explore my own backyard until we meet again Maine.",#https://www.instagram.com/p/9y-adNLUV8/#,Positive
135,One of the best places to go riding in SA #knysna#bush#southafrica#beautiful#trees#ktm#honda#yamaha#goodlife #braap#enduro,#https://www.instagram.com/p/9om0mqtWyK/#,Positive
136,"Kringe in 'n Bos ????
#tour #forest #selfie #smile #feeltheforest #sunglasses #fun #friends #hot #sunny #summer #tumblr #igers #instafollow #instalike #doubletap #insta #hashtag #like4like #like #follow4follow",#https://www.instagram.com/p/9tEEDREKQI/#,Positive
137,Spontaneous overnight trip to Wilderness - #becausewecan #youonlyliveonce #spontaneous #groupon #beachhotel #view #oceanview #wildernessbeachhotel #wilderness #roomwithaview,#https://www.instagram.com/p/9yY-BINQUh/#,Positive
138,Was great to take a step back in time today by jumping on a pontoon ! What we did do before bridges ????????#intothewilderness #gardenroute #westerncape #SouthAfrica #river #pontoon #pontoonboat #pontoonboatride #thisissouthafrica #hiking,#https://www.instagram.com/p/9vxexxGXvt/#,Positive
139,#tsitsikamma #nationalpark #stormsrivermouth #hiking #gardenroute #southafrica #amazingview #travel #travelling #backpacking #travelpics #instatravel #travelgram #travellove #travellovers,#https://www.instagram.com/p/_APMTTvwGQ/#,Positive
140,Quite something to see a waterfall right by the ocean. #waterfall #ocean #cape #nature #rawbeauty,#https://www.instagram.com/p/-_t1SlIp0A/#,Positive
141,Treasure hunt. #rawbeauty #nature #cape #waterfall,#https://www.instagram.com/p/-_sz97opx8/#,Positive
142,"The one and only Tsitsikamma National Park, South Africa. Unspoilt nature at its very best.",#https://www.instagram.com/p/-5fqytBgu0/#,Positive
145,"Beautiful sunset at Stormsriver Mouth in Tsitsikamma National Park ??
#tsitsikamma #southafrica #coast #of #life #ocean #waves #canalmostseeantarctica #sunset #wonderful #placestogo",#https://www.instagram.com/p/-1on-HTGB5/#,Positive
147,#southafrica #naturalbeauty,#https://www.instagram.com/p/-1J-ekzRD1/#,Positive
152,Daaaaaayum Africa. East coast is my favourite ???????? #naturesvalley #eastcoastroadtripping,#https://www.instagram.com/p/-6lj80SX9X/#,Positive
155,#fascinating #nature in #jubileecreek #naturereserve #knysna #southafrica #vacation #2015 and again #nofilterneeded,#https://www.instagram.com/p/-9nYepQR5W/#,Positive
156,#hiking today at #jubileecreek #walkingtrail in #knysna #southafrica with always #bluesky  #nature #greatdaytoday #vacation #2015,#https://www.instagram.com/p/-9nD_zQR4z/#,Positive
166,I'd get lost in the woods with these girls any day. #where'sashleigh #wesurvived,#https://www.instagram.com/p/-w7ejFk1UN/#,Positive
168,"Had the pleasure to experience this beautiful site, there's a difference between a tourist and a traveler.",#https://www.instagram.com/p/-3_d1MoXy9/#,Positive
170,The background says it all..Africa you Beauty! Woza la!,#https://www.instagram.com/p/-zCSQQibRB/#,Positive
172,"Just walking into Wilderness town, about 5kms from our place. It takes about 40mins to get in but it's worth it when the view is like this ??",#https://www.instagram.com/p/-90sPlhHZ6/#,Positive
173,This heart of mine was made to travel this world ... #wanderlust #southafrica #welcometothegoodlife,#https://www.instagram.com/p/-9hIhxxEkX/#,Positive
182,Fantastic little beaches between the cliffs where Storms River empties into the Indian Ocean at Tsitsikamma National Park.  #beach #tsitsikamma #indianocean #stormsriver #ocean #thisissothafrica #southafricaza #africanamazing #loves_africa #ig_africa #wa,#https://www.instagram.com/p/xrq5XPnfuO/#,Positive
183,"My view right now at the amazing Tsitisikamma National Park at the adventure capital of South Africa, stormsriver village. There's something special about that mountain. Loving it here!! #hike #bikingtrails #wow #pictureperfect #gardenroute #westerncape",#https://www.instagram.com/p/xrawPwjhkm/#,Positive
184,How i spent my Friday evening..... I do enjoy a spot of angling. @ugenphotography @sarahcamgirl_14 #fishing #sunset #dropshot #coffeegrinder #southafrica #travel #roadtrip #goodtimes #rapala #shimano @tortflyfishing #nature #sea #eastcoast,#https://www.instagram.com/p/xq1sZgAb8u/#,Positive
191,"Golden light.

#Knysna #sedgefield #westerncape #southafrica #ocean #oceanside #oceanview #view #sun #sunset #gold #golden #light #beautiful #clouds #rising_masters #lifeofadventure #liveauthentic #justgoshoot #photoPOV #picoftheday #photooftheday #canon",#https://www.instagram.com/p/yy1wLjgdMd/#,Positive
195,Beautiful day #beautifulscenery #beautifulview #tsitsikamma #roadtrip,#https://www.instagram.com/p/y2Y3ZInvaf/#,Positive
196,This was our most adventurous hike so far...#hiking #waterfalltrail #waterfall #trail #tsitsikamma #tsitsikammanationalpark #nationalpark #love #nature #ocean #wild #whitewater #water #mountains #green #rocks #stone #adventure #southafrica #picoftheday #,#https://www.instagram.com/p/yuNVAKkLzo/#,Positive
197,Young #Tbt #2014 Best road trip ever! #gardenroute,#https://www.instagram.com/p/ytu19cs6Ms/#,Positive
198,#wilderness #afrovibehostel #southafrica #lovethisplace,#https://www.instagram.com/p/z7m2teC-2X/#,Positive
200,Gorgeous,#https://www.instagram.com/p/0D1UxiO1Uk/#,Positive
202,Posting a few more pics of #southafrica #thailand and #UAE amazing scene sitting on the coast of #titsikamma #eastencape #capetown #sunsetting #nikon #lovinsouthafrica,#https://www.instagram.com/p/0BMlpzMKa5/#,Positive
203,Stairway to heaven...???????? #southafrica #ThisIsSouthAfrica #traveladdict #travel #instaplace #igersworldwide #nature #ocean #tsitsikamma #stairway #stairwaytoheaven #park #green #heaven,#https://www.instagram.com/p/z-7iukKZgO/#,Positive
204,Really this place is heaven on the world you have to be here really we are have a fun ...,#https://www.instagram.com/p/z-ejUsm3b_/#,Positive
206,Blessed are those who are curious for they shall have adventures,#https://www.instagram.com/p/z7hAyBlm-k/#,Positive
209,We become what we seek by responding to a calling; then manifestation and sleeping and hoping. Seems like we're just dancing through a life with one purpose: TO LOVE.,#https://www.instagram.com/p/z9g_McMrj6/#,Positive
213,"""Small"" Jelly-fish :)",#https://www.instagram.com/p/1TAFANgUVc/#,Positive
217,"Ive always wanted to come here....
A few places i must go see... #lovemycountry #easterncape #localbucketlistmoment #loneranger #latergram",#https://www.instagram.com/p/1VwYKqwva7/#,Positive
218,"One of the many things that I love about South Africa is how they braai, just something special about cooking on a fire.",#https://www.instagram.com/p/1Ve63GhUEr/#,Positive
220,Tsitsikamma trip. Day 5 Longexposure just before sunset. Trying out my new neutral density filter with the high tide and they are working like a charm. #mountain #clouds #roadtrip #holiday #instagram #landscape #southafrica #easterncape #cape #trip #tsit,#https://www.instagram.com/p/1UqoRgRvki/#,Positive
222,Latergram from yesterday's hike... Taking a moment to admire the incredible view from the top of the Storms River Gorge. Definitely one of the most beautiful parts of the world I have been lucky enough to explore ?? #mothercityfitgirl #hike #gorge #tsits,#https://www.instagram.com/p/1SaOnFhIF2/#,Positive
224,AIFS Stellenbosch Students from US enjoying stunning autumn weather in Tsitsikamma National Park! #Gardenroute #Addo #adventure,#https://www.instagram.com/p/1NWsCcOb8Y/#,Positive
225,into the wild @South Africa #myfeelgoodplace,#https://www.instagram.com/p/1LFVZgGygB/#,Positive
227,Loving the wild Protea flowers #Tsitsikamma #ThisisSouthAfrica,#https://www.instagram.com/p/2f_Yriw4Ss/#,Positive
228,Beautiful day at #Tsitsikamma #suspensionbridge #ThisisSouthAfrica,#https://www.instagram.com/p/2f_ITjw4SG/#,Positive
232,We are having a wonderful time in SA and might just stay #southafrica #tsitsikamma #stormsrivermouth #crossthebridgewhenwegetthere,#https://www.instagram.com/p/2Y5XNFPy_1/#,Positive
234,My new best friend #southafrica #tsitsikamma #ornitologi #letmetakeaselfie #seagull #m?\F2ge #jegvilgernehaves?\F2danenudstoppet,#https://www.instagram.com/p/2X4WVrPy2x/#,Positive
235,What a beautiful morning #southafrica #tsitsikamma #stormsrivermouth #sunrise #kammasride #sanparks,#https://www.instagram.com/p/2VKYvOPy8b/#,Positive
236,Best stop in the world #view #Tsitsikamma #stormsriver #beach #ocean #daytrip #nature #hiking #beachwalk #beachbum #thelife #holiday #instalate #eastencape #southafrica,#https://www.instagram.com/p/2T46PIKf1b/#,Positive
237,Great to have seen this awesome #sunrise #Wilderness,#https://www.instagram.com/p/2dP--KKnhy/#,Positive
238,#Pretty #Sunrise #Wilderness,#https://www.instagram.com/p/2aQ5J9KntS/#,Positive
239,Glad I woke up early!!! #beautiful #Sunrise in the #Wilderness wow ????????,#https://www.instagram.com/p/2aQeGEKns8/#,Positive
241,"Sunset Tsitsikamma Nature Reserve, Eastern Cape #sunset #sunrise #sun #TagsForLikes.com #TFLers #pretty #beautiful #red #orange #pink #sky #skyporn #cloudporn #nature #clouds #horizon #photooftheday #instagood #gorgeous #warm #view #night #morning #silho",#https://www.instagram.com/p/3tupVjjpkV/#,Positive
242,"Love you South Africa!
#tsitsikamma #zipline #southafrica #adventuretime #crazipeople #brazil #belgia #netherlands #southafrica",#https://www.instagram.com/p/3rnZ7lLEWd/#,Positive
245,Beaches be lovin' African winter,#https://www.instagram.com/p/3oIZOiCf-H/#,Positive
248,These views just never seem to get old ????,#https://www.instagram.com/p/3nyKBenup4/#,Positive
251,#ZipSlide #4thofjuly #funday #Saterday #weekendvibes #Happy #FamilyTime #Hights #intheAir #NotafraidOfHights #DowhatMakesyouHappy #Sedgefield #BlueSky #Trees #IntheAir #FeelingThePainTheNextDay #Blue #YOLO,#https://www.instagram.com/p/4v4VFPKBmN/#,Positive
252,Having the most amazing time?? #instatravel #excitement #gardenroute #happyjess #travels #beautiful #hike #sunset,#https://www.instagram.com/p/49kuBsIIXl/#,Positive
253,Dinner with this great view! ?? Chicken Bacamberry ?????? #waves #ocean #beach #surf #cliffs #gardenroute #dinner #Tsitsikamma,#https://www.instagram.com/p/49ZX8inO2y/#,Positive
254,Holiday runs. Prob the most beautiful run I'll ever run. This side of South Africa is definitely my favourite ?????????? #tsitsikamma #forest #running #runs #trailrun #mountainrun #beautiful #suspensionbridge #easterncape #southafrica #nike #nikerunning,#https://www.instagram.com/p/418i71havU/#,Positive
255,I enjoy waterfalls,#https://www.instagram.com/p/417O2dMhuA/#,Positive
258,We live in such a beautiful country! ???? So many undiscovered gems! ???? #HPSAphoneography,#https://www.instagram.com/p/4zUeUlIBcU/#,Positive
259,What a view ?? #stormsriver #stormsrivermouth #suspensionbridge #77m #winter #tsitsikamma #eastcoast #easterncape #beauty #mothernature #naturalbeauty #vacation #theyearofgogogoing #finalyear #finalyearbucketlist #naturelovers,#https://www.instagram.com/p/4zJsRZpxN5/#,Positive
261,"Basking in the serenity ???beauty on our doorstep ... Well almost that close!
. #stormsriver #stormsrivermouth #suspensionbridge #77m #winter #tsitsikamma #eastcoast #easterncape #beauty #mothernature #naturalbeauty #vacation #theyearofgogogoing #finalye",#https://www.instagram.com/p/4zItHcpxMY/#,Positive
3123,Quite impressed with this holiday situation so far ??,#https://www.instagram.com/p/xuTNJ-Kkz0/#,Positive
3131,Storms river! Saw 6 sand sharks ??#snorkeling#fun#adventures#Plett,#https://www.instagram.com/p/xoEfiUAz4U/#,Positive
3133,Waiting for supper.  Taking things easy. Tsitsikamma,#https://www.instagram.com/p/xkAMRgtjHL/#,Positive
3136,Backpacker vibes,#https://www.instagram.com/p/xj44F6NP1P/#,Positive
3140,Tsitsikamma National Park #suspensionbridge #nationalpark #southafrica #amazing #familytrip #tsitsikamma,#https://www.instagram.com/p/xuFb2aGbOw/#,Positive
3141,"Paul Sauer Bridge. Feels like holiday again, well my job makes me feel like it. On the way to Great White Shark Diving. #livinglife #dreamjob #blessed  #everysecond",#https://www.instagram.com/p/xrPDLYmu1e/#,Positive
3143,:),#https://www.instagram.com/p/xpUjyLjnZe/#,Positive
3145,Did a bungy jump off the Bloukrans Bridge at 216 meters - one of the highest bungees in the world!,#https://www.instagram.com/p/xok7v0ollC/#,Positive
3152,On the road again... Finally heading back to JHB after an incredible series of adventures??????????????????????????,#https://www.instagram.com/p/xnhftUGECZ/#,Positive
3155,"Besides being covered in spider webs half the ride, these forests are something special!",#https://www.instagram.com/p/xtehwfsts9/#,Positive
3157,#selfiestick #accidental #photo #holidays #fun #knysna #sunshine #favourite #selfie #polkadots #scarf #nofilter,#https://www.instagram.com/p/xukA36wkzA/#,Positive
3165,Now this is one hell of a place to be!!!! #simola#sunset#knysnabeauty#home#ilovethisplace#chilledvibe#5star#sundowners#togood#gonnamissit,#https://www.instagram.com/p/xpGlR9KYzb/#,Positive
3167,Mom and dad just taking it easy #Simola_Country_Club #Knysna #holiday,#https://www.instagram.com/p/xozJelwEsE/#,Positive
3168,"Love this girl so much?????? such an amazing get away, so blessed. Love you @raejaftha #Simola_Country_Club #Knysna",#https://www.instagram.com/p/xoy-DyQEr5/#,Positive
3169,Really having a great holiday with my beautiful wife at the #Simola golf estate #Knysna,#https://www.instagram.com/p/xoyc1EQErK/#,Positive
3170,Lets have some fun!,#https://www.instagram.com/p/xmLFFUsXvS/#,Positive
3171,It was good to visit this place again! Off to Plett now ??,#https://www.instagram.com/p/xl5lbWqzgq/#,Positive
3172,Today's view was pretty amazing ? #Alhamdulilah,#https://www.instagram.com/p/xkP2ORE6DM/#,Positive
3173,"Simola for the day ??
#simola #knysna #golfcourse #view  #swimming #happytime #getaway",#https://www.instagram.com/p/xjrTT1NJY-/#,Positive
3174,My day today #KnysnaVacay #PoolSideChilling,#https://www.instagram.com/p/xg560gszok/#,Positive
3175,Always a good day out with these clowns!#knysna#golfday,#https://www.instagram.com/p/xewkrirgos/#,Positive
3181,"We went exporting this really cool abandoned building today  and @lillyloves7 just happened to be weirding out in a sunbeam.

#whpoutofplace",#https://www.instagram.com/p/xrICJrHchT/#,Positive
3183,Morning walk and swim ... #nature #beautiful #sea #beach #unspoilt,#https://www.instagram.com/p/xoGAkFLZRA/#,Positive
3185,A beautiful foal ... ????,#https://www.instagram.com/p/xuLv7YLZfO/#,Positive
3187,I'm gorgeous! #angora,#https://www.instagram.com/p/xtPUIdQClI/#,Positive
3193,#NaturesValley #holiday #fun #summer,#https://www.instagram.com/p/xoNO29g6oq/#,Positive
3194,Goodbye beautiful #NaturesValley #meetsouthafrica #westerncape,#https://www.instagram.com/p/xoNA7Cg6oX/#,Positive
3198,Family of brownies!!! Happy pealing princesses ?????? #sandinMypants #tan #beach #family #shultz #asem #INMYBEHLEH #d?\BFshlumpa,#https://www.instagram.com/p/xoCURuFefg/#,Positive
3200,Homeward Bound #LoveTheJourney #EngenSA,#https://www.instagram.com/p/xn0elxLsy-/#,Positive
3201,Thanks Nature's Valley. I needed that. Till next time.,#https://www.instagram.com/p/xnvQ0Frs9I/#,Positive
3202,"Such an amazing place, natures valley you beaut! #nature #sundowners #2015 #beach #memories",#https://www.instagram.com/p/xmZUYWEVGl/#,Positive
3203,Very unique birthday cake ???? #Holidays #birthday #Family #plett,#https://www.instagram.com/p/xmWtrdA6o1/#,Positive
3204,My amazing #brother ??,#https://www.instagram.com/p/xmWG9gA6nx/#,Positive
3211,Beautiful Thandi,#https://www.instagram.com/p/xlqAS6lOim/#,Positive
3213,"Love & Luck for 2015, y'all  xx",#https://www.instagram.com/p/xlh89sHsDs/#,Positive
3214,It's a dogs life in our home! Just returned from a gorgeous #beach walk and Bean has passed out,#https://www.instagram.com/p/xlc24bg6kw/#,Positive
3215,"I want to eat this little tot up! Sabrina, too precious for words. Wishing me happy birthday...",#https://www.instagram.com/p/xla4BTA6je/#,Positive
3216,"?? #dog #selfie #holiday #fun ...and note the birthmark on his tongue, too cute!",#https://www.instagram.com/p/xlZF-1g6ht/#,Positive
3217,Gus #selfie ;),#https://www.instagram.com/p/xlYldvg6hL/#,Positive
3220,My JR friend having a snooze next to my chair at lunch :),#https://www.instagram.com/p/xkOtDgnsCn/#,Positive
3221,A hundred times YES!  #sweetpotatofries :) xx,#https://www.instagram.com/p/xkNcFpHsAc/#,Positive
3223,Last beach day #beach #waves #surf #ocean #SouthAfrica #naturesvalley #water #blue #bikini #triangl #trianglbikini #iphone #vsco #sun #summer #holidays #hot #fit #couple #love #blond #nike #oakley #livestrong #tan,#https://www.instagram.com/p/xjHB_QnzRK/#,Positive
3225,You only have one chance and I plan to live the FUCK out of this life. Screw resolutions. Each day like its the last #loveit #lifeisgood #happy #goodtimes #whatarush @rvcasouthafrica @faceadrenalin @sashavhepburn @nixhepburn,#https://www.instagram.com/p/xtcdD-nV7R/#,Positive
3226,Time to bungee jump baby. Hello 2015 #livinglife #lifeisgood #goodtimes @nixhepburn @sashavhepburn this is it. @rvcasouthafrica,#https://www.instagram.com/p/xtcFTMnV6x/#,Positive
3229,Bungy jumped 216m today!???? #bloukransbridge #bungyjump #worldshighest #adrenalinekick #southafrica #holiday,#https://www.instagram.com/p/xmdJzXyxIa/#,Positive
